Month/Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
5-Jun,"224,153","234,352",
5-Jul,"233,585","224,242",
5-Aug,"231,400","225,410",
5-Sep,"244,669","238,929",
5-Oct,"239,868","243,174",
5-Nov,"242,904","241,695",
5-Dec,"244,098","263,205",
,,,
4-Jan,"189,429","198,628",
4-Feb,"190,448","200,323",
4-Mar,"191,451","203,953",
4-Apr,"198,778","217,992",
4-May,"193,843","219,640",
4-Jun,"193,993","220,781",
4-Jul,"187,844","220,196",
4-Aug,"187,828","217,945",
4-Sep,"193,668","220,860",
4-Oct,"197,999","218,090",
4-Nov,"211,012","223,928",
4-Dec,"217,573","238,192",
,,,
3-Jan,"141,391","179,528",
3-Feb,"140,516","179,925",
3-Mar,"144,267","176,955",
3-Apr,"143,237","168,756",
3-May,"153,725","178,946",
3-Jun,"168,281","190,026",
3-Jul,"174,427","199,973",
3-Aug,"167,200","188,112",
3-Sep,"171,194","189,826",
3-Oct,"175,428","191,554",
3-Nov,"182,587","184,899",
3-Dec,"181,459","199,297",
,,,
2-Jan,"160,906","189,841",
2-Feb,"154,931","186,919",
2-Mar,"160,089","180,578",
2-Apr,"159,072","175,730",
2-May,"157,802","173,395",
2-Jun,"153,972","178,744",
2-Jul,"143,905","183,326",
2-Aug,"139,146","174,995",
2-Sep,"136,107","180,997",
2-Oct,"138,647","181,069",
2-Nov,"139,472","176,062",
2-Dec,"139,451","184,715",
,,,
1-Jan,"208,687","187,225",
1-Feb,"198,887","193,266",
1-Mar,"174,797","198,581",
1-Apr,"176,096","191,145",
1-May,"183,041","183,493",
1-Jun,"179,585","187,602",
1-Jul,"173,680","185,100",
1-Aug,"169,316","191,219",
1-Sep,"157,931","211,281",
1-Oct,"152,367","187,012",
1-Nov,"159,440","188,441",
1-Dec,"160,473","197,424",
,,,
Jan-00,"260,409","148,567",
Feb-00,"284,206","153,540",
Mar-00,"299,933","168,002",
Apr-00,"268,716","156,868",
May-00,"256,862","153,843",
Jun-00,"264,471","153,050",
Jul-00,"263,729","163,050",
Aug-00,"265,166","156,775",
Sep-00,"270,208","160,964",
Oct-00,"250,965","172,738",
Nov-00,"237,913","186,459",
Dec-00,"210,385","198,179",
,,,
Jan-99,"162,322","107,200",
Feb-99,"162,909","109,523",
Mar-99,"166,212","109,941",
Apr-99,"184,329","112,290",
May-99,"189,950","114,271",
Jun-99,"187,695","116,982",
